segregant,batch,OD_covariate
A03_95-BYxRM_eQTL_01,1,0.301
A04_01-BYxRM_eQTL_10,10,0.28
A04_02-BYxRM_eQTL_10,10,0.176
A04_03-BYxRM_eQTL_05,5,0.166
A04_04-BYxRM_eQTL_12,12,0.212
A04_05-BYxRM_eQTL_03,3,0.153
A04_06-BYxRM_eQTL_07,7,0.219
A04_07-BYxRM_eQTL_10,10,0.3
A04_08-BYxRM_eQTL_10,10,0.187
A04_09-BYxRM_eQTL_06,6,0.137
A04_10-BYxRM_eQTL_01,1,0.356
A04_11-BYxRM_eQTL_05,5,0.128
A04_12-BYxRM_eQTL_10,10,0.244
A04_13-BYxRM_eQTL_01,1,0.458
A04_15-BYxRM_eQTL_02,2,0.228
A04_16-BYxRM_eQTL_02,2,0.176
A04_17-BYxRM_eQTL_07,7,0.267
A04_18-BYxRM_eQTL_05,5,0.172
A04_19-BYxRM_eQTL_08,8,0.222
A04_20-BYxRM_eQTL_03,3,0.211
A04_21-BYxRM_eQTL_07,7,0.145
A04_22-BYxRM_eQTL_02,2,0.164
A04_23-BYxRM_eQTL_06,6,0.168
A04_24-BYxRM_eQTL_06,6,0.156
A04_25-BYxRM_eQTL_04,4,0.185
A04_26-BYxRM_eQTL_13,13,0.207
A04_27-BYxRM_eQTL_11,11,0.279
A04_28-BYxRM_eQTL_07,7,0.231
A04_29-BYxRM_eQTL_13,13,0.275
A04_30-BYxRM_eQTL_13,13,0.239
A04_31-BYxRM_eQTL_03,3,0.176
A04_32-BYxRM_eQTL_08,8,0.299
A04_33-BYxRM_eQTL_01,1,0.268
A04_34-BYxRM_eQTL_08,8,0.364
A04_35-BYxRM_eQTL_01,1,0.208
A04_36-BYxRM_eQTL_06,6,0.204
A04_37-BYxRM_eQTL_13,13,0.221
A04_38-BYxRM_eQTL_13,13,0.263
A04_39-BYxRM_eQTL_01,1,0.248
A04_40-BYxRM_eQTL_13,13,0.164
A04_41-BYxRM_eQTL_10,10,0.202
A04_42-BYxRM_eQTL_01,1,0.3
A04_43-BYxRM_eQTL_06,6,0.2
A04_44-BYxRM_eQTL_07,7,0.203
A04_45-BYxRM_eQTL_05,5,0.228
A04_46-BYxRM_eQTL_11,11,0.315
A04_47-BYxRM_eQTL_07,7,0.215
A04_48-BYxRM_eQTL_12,12,0.142
A04_49-BYxRM_eQTL_13,13,0.207
A04_50-BYxRM_eQTL_07,7,0.207
A04_51-BYxRM_eQTL_05,5,0.146
A04_52-BYxRM_eQTL_02,2,0.183
A04_53-BYxRM_eQTL_01,1,0.318
A04_54-BYxRM_eQTL_06,6,0.136
A04_55-BYxRM_eQTL_08,8,0.363
A04_56-BYxRM_eQTL_04,4,0.27
A04_57-BYxRM_eQTL_05,5,0.155
A04_58-BYxRM_eQTL_09,9,0.315
A04_59-BYxRM_eQTL_09,9,0.225
A04_60-BYxRM_eQTL_08,8,0.226
A04_61-BYxRM_eQTL_05,5,0.226
A04_62-BYxRM_eQTL_04,4,0.185
A04_63-BYxRM_eQTL_10,10,0.354
A04_64-BYxRM_eQTL_03,3,0.215
A04_65-BYxRM_eQTL_10,10,0.264
A04_66-BYxRM_eQTL_13,13,0.216
A04_67-BYxRM_eQTL_04,4,0.197
A04_68-BYxRM_eQTL_08,8,0.21
A04_69-BYxRM_eQTL_04,4,0.286
A04_70-BYxRM_eQTL_02,2,0.159
A04_71-BYxRM_eQTL_09,9,0.298
A04_72-BYxRM_eQTL_07,7,0.243
A04_73-BYxRM_eQTL_03,3,0.183
A04_74-BYxRM_eQTL_03,3,0.292
A04_75-BYxRM_eQTL_05,5,0.198
A04_76-BYxRM_eQTL_08,8,0.322
A04_77-BYxRM_eQTL_09,9,0.205
A04_78-BYxRM_eQTL_13,13,0.311
A04_79-BYxRM_eQTL_05,5,0.117
A04_80-BYxRM_eQTL_02,2,0.22
A04_81-BYxRM_eQTL_01,1,0.346
A04_82-BYxRM_eQTL_09,9,0.241
A04_84-BYxRM_eQTL_07,7,0.189
A04_85-BYxRM_eQTL_13,13,0.535
A04_86-BYxRM_eQTL_03,3,0.19
A04_87-BYxRM_eQTL_04,4,0.207
A04_88-BYxRM_eQTL_04,4,0.302
A04_89-BYxRM_eQTL_11,11,0.307
A04_90-BYxRM_eQTL_09,9,0.246
A04_91-BYxRM_eQTL_08,8,0.338
